#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50  43  9.1 10.9  2.21  6.25  5.22 999 1015.2  25.8  27.5  18.0 99.0 99.00
2011 01 01 00 50  39  9.7 12.3  2.08  6.25  5.27 999 1015.6  25.8  27.5  16.8 99.0 99.00
2011 01 01 01 50  42 10.0 12.2  2.19  6.25  5.25 999 1015.8  25.8  27.5  16.9 99.0 99.00
2011 01 01 02 50  48  7.7  9.6  2.14  5.88  5.33 999 1015.6  25.6  27.5  17.2 99.0 99.00
2011 01 01 03 50  43  8.3 10.4  1.96  5.88  5.28 999 1015.3  25.4  27.5  17.5 99.0 99.00
2011 01 01 04 50  44  8.4 10.2  1.85  5.56  5.32 999 1015.0  25.4  27.5  18.4 99.0 99.00
2011 01 01 05 50  41  7.8  9.1  1.97  5.56  5.27 999 1014.6  25.3  27.5  17.8 99.0 99.00
2011 01 01 06 50  39  9.0 10.9  1.94  6.67  5.32 999 1013.8  25.3  27.5  17.4 99.0 99.00
2011 01 01 07 50  43  8.2 10.0  1.91  5.88  5.25 999 1013.6  25.3  27.5  17.7 99.0 99.00
2011 01 01 08 50  47  8.6 11.3  1.89  5.56  5.18 999 1013.8  25.2  27.5  18.0 99.0 99.00
2011 01 01 09 50  50  8.7 11.4  1.97  5.56  5.17 999 1014.1  25.3  27.5  18.2 99.0 99.00
2011 01 01 10 50  48 10.3 12.5  2.21  5.56  5.26 999 1014.2  25.3  27.5  19.1 99.0 99.00
2011 01 01 11 50  54  8.8 10.3  2.12  6.25  5.39 999 1014.8  26.0  27.4  18.1 99.0 99.00
2011 01 01 12 50  52  9.5 12.1  2.07  5.88  5.29 999 1015.5  26.0  27.4  17.8 99.0 99.00
2011 01 01 13 50  55  8.7 11.4  2.21  6.25  5.44 999 1015.9  26.1  27.3  19.0 99.0 99.00
2011 01 01 14 50  57  8.7 11.5  2.07  5.88  5.31 999 1015.6  26.1  27.3  18.3 99.0 99.00
2011 01 01 15 50  55  8.2 10.2  2.08  5.56  5.34 999 1014.8  26.1  27.3  19.2 99.0 99.00
2011 01 01 16 50  50  8.3  9.9  1.92  5.56  5.38 999 1013.9  26.1  27.2  19.4 99.0 99.00
2011 01 01 17 50  64  9.4 11.5  2.06  6.25  5.36 999 1012.9  26.1  27.2  19.2 99.0 99.00
2011 01 01 18 50  54  8.9 11.0  2.01  6.25  5.21 999 1012.8  26.3  27.2  19.2 99.0 99.00
2011 01 01 19 50  56  9.1 10.9  2.23  5.88  5.23 999 1012.7  26.5  27.2  19.4 99.0 99.00
2011 01 01 20 50  53  9.1 10.7  2.08  6.25  5.30 999 1013.2  26.3  27.2  19.7 99.0 99.00
2011 01 01 21 50  55  9.3 11.5  2.08  5.56  5.15 999 1013.6  26.0  27.2  19.2 99.0 99.00
2011 01 01 22 50  52  9.9 11.3  2.18  5.56  5.28 999 1014.0  26.1  27.1  19.2 99.0 99.00
2011 01 01 23 50  53  9.5 11.3  2.19  5.56  5.16 999 1014.5  26.1  27.1  19.5 99.0 99.00
2011 01 02 00 50  49  9.7 11.9  2.13  5.88  5.05 999 1014.9  26.0  27.1  19.1 99.0 99.00
2011 01 02 01 50  60  9.4 11.1  2.12  5.88  5.30 999 1015.3  25.9  27.1  19.1 99.0 99.00
2011 01 02 02 50  52  9.4 10.7  2.05  6.25  5.18 999 1015.1  25.9  27.1  19.0 99.0 99.00
2011 01 02 03 50  52  9.4 11.6  1.99  6.25  5.27 999 1014.5  25.8  27.1  19.6 99.0 99.00
2011 01 02 04 50  49  8.7 10.4  2.14  5.56  5.23 999 1014.2  25.7  27.1  19.4 99.0 99.00
2011 01 02 05 50  60  8.8 10.6  2.01  6.25  5.36 999 1013.7  25.7  27.2  19.9 99.0 99.00
2011 01 02 06 50  60  8.7 11.0  2.04  5.88  5.23 999 1013.1  25.5  27.2  20.1 99.0 99.00
2011 01 02 07 50  53  8.8 10.9  2.22  6.67  5.61 999 1012.8  25.6  27.2  19.5 99.0 99.00
2011 01 02 08 50  56  9.1 10.9  2.31  5.88  5.58 999 1013.0  25.7  27.3  19.3 99.0 99.00
2011 01 02 09 50  51  8.9 10.7  2.20  7.14  5.41 999 1013.5  25.7  27.4  19.7 99.0 99.00
2011 01 02 10 50  58  8.4 10.8  2.18  7.14  5.43 999 1013.9  25.6  27.4  19.9 99.0 99.00
2011 01 02 11 50  55  7.9  9.4  2.07  8.33  5.49 999 1014.7  26.1  27.4  19.8 99.0 99.00
2011 01 02 12 50  58  7.9  9.4  2.14  8.33  5.56 999 1015.2  26.6  27.4  19.6 99.0 99.00
2011 01 02 13 50  79  9.6 11.9  2.12  6.67  5.41 999 1015.7  25.8  27.4  20.3 99.0 99.00
2011 01 02 14 50  71  8.3  9.8  2.08  7.69  5.63 999 1015.4  26.4  27.4  20.6 99.0 99.00
2011 01 02 15 50  67 11.2 13.5  2.12  6.67  5.40 999 1014.8  25.5  27.4  20.4 99.0 99.00
2011 01 02 16 50  70 12.1 14.6  2.26  5.88  5.35 999 1013.9  26.0  27.4  20.6 99.0 99.00
2011 01 02 17 50  94  8.0  9.6  2.24  5.88  5.34 999 1013.0  25.0  27.4  20.9 99.0 99.00
2011 01 02 18 50  57  9.4 11.2  2.18  5.56  5.34 999 1012.2  26.0  27.4  21.1 99.0 99.00
2011 01 02 19 50  64 10.5 12.4  2.20  7.69  5.38 999 1011.9  26.8  27.4  20.0 99.0 99.00
2011 01 02 20 50  65 10.9 13.3  2.53  9.09  5.43 999 1012.1  26.9  27.4  20.1 99.0 99.00
2011 01 02 21 50  56 10.8 13.8  2.43  6.25  5.24 999 1012.4  26.4  27.4  20.6 99.0 99.00
2011 01 02 22 50  52 11.4 14.0  2.63  6.67  5.54 999 1012.7  26.4  27.4  20.3 99.0 99.00
2011 01 02 23 50  54 11.2 13.2  2.72  6.67  5.48 999 1013.3  26.3  27.4  20.0 99.0 99.00
2011 01 03 00 50  56 11.3 13.5  2.57  6.67  5.32 999 1013.8  26.3  27.4  19.3 99.0 99.00
2011 01 03 01 50  51 10.9 13.1  2.61  6.67  5.42 999 1014.0  26.2  27.4  19.6 99.0 99.00
2011 01 03 02 50  51 10.3 12.2  2.67  6.67  5.55 999 1013.9  26.3  27.4  19.4 99.0 99.00
2011 01 03 03 50  56 10.3 13.0  2.32  6.67  5.25 999 1013.4  26.2  27.4  19.8 99.0 99.00
2011 01 03 04 50  52 10.9 13.2  2.65  6.67  5.58 999 1013.1  25.8  27.4  20.8 99.0 99.00
2011 01 03 05 50  50 11.4 13.9  2.50  6.67  5.35 999 1012.5  25.6  27.4  20.9 99.0 99.00
2011 01 03 06 50  51 12.1 15.3  2.57  6.67  5.29 999 1011.8  25.5  27.4  20.8 99.0 99.00
2011 01 03 07 50  53 10.9 12.6  2.71  6.25  5.51 999 1011.8  25.6  27.4  20.1 99.0 99.00
2011 01 03 08 50  50 10.5 12.2  2.50  7.14  5.28 999 1011.7  25.7  27.4  19.8 99.0 99.00
2011 01 03 09 50  55 10.6 12.7  2.59  6.67  5.50 999 1012.0  25.9  27.4  20.1 99.0 99.00
2011 01 03 10 50  51 10.8 12.5  2.38  6.67  5.34 999 1012.6  25.9  27.4  19.9 99.0 99.00
2011 01 03 11 50  54 10.9 12.5  2.57  6.67  5.36 999 1013.1  26.1  27.4  20.3 99.0 99.00
2011 01 03 12 50  33 10.5 13.0  2.40  7.14  5.37 999 1013.9  25.9  27.4  20.6 99.0 99.00
2011 01 03 13 50  41 10.8 12.8  2.40  6.67  5.34 999 1014.4  26.4  27.4  20.2 99.0 99.00
2011 01 03 14 50  43 10.3 12.6  2.48  7.69  5.41 999 1014.3  26.4  27.4  20.3 99.0 99.00
2011 01 03 15 50  48 11.1 13.7  2.53  6.67  5.49 999 1013.7  26.1  27.4  20.1 99.0 99.00
2011 01 03 16 50  40  9.9 12.1  2.57  7.14  5.44 999 1013.1  25.9  27.4  19.7 99.0 99.00
2011 01 03 17 50  45 11.2 13.5  2.42  7.69  5.24 999 1012.3  26.1  27.4  20.0 99.0 99.00
2011 01 03 18 50  53 11.0 13.3  2.51  6.67  5.36 999 1011.8  26.3  27.4  20.0 99.0 99.00
2011 01 03 19 50  49 10.9 12.8  2.52  6.67  5.27 999 1011.8  26.2  27.4  20.0 99.0 99.00
2011 01 03 20 50  54 10.9 13.1  2.35  6.25  5.23 999 1012.0  26.1  27.4  20.0 99.0 99.00
2011 01 03 21 50  56 10.7 12.7  2.51  6.67  5.39 999 1012.3  26.0  27.3  19.8 99.0 99.00
2011 01 03 22 50  54 11.1 14.0  2.39  7.14  5.31 999 1012.4  26.1  27.1  20.3 99.0 99.00
2011 01 03 23 50  54 10.3 12.5  2.51  6.67  5.28 999 1013.0  26.2  27.1  20.1 99.0 99.00
2011 01 04 00 50  62 11.0 13.1  2.41  7.14  5.26 999 1013.4  26.2  27.0  20.5 99.0 99.00
2011 01 04 01 50  71 10.5 13.0  2.31  6.67  5.17 999 1014.2  23.8  26.9  21.9 99.0 99.00
2011 01 04 02 50  61 10.5 13.2  2.25  6.67  5.03 999 1013.9  24.7  26.9  21.7 99.0 99.00
2011 01 04 03 50  74 10.5 13.2  2.09  7.69  5.00 999 1013.8  24.7  26.9  22.0 99.0 99.00
2011 01 04 04 50  76  8.4 11.0  2.11  6.25  5.14 999 1013.7  23.6  26.9  22.4 99.0 99.00
