,ID,year,month,day,hour,mins,waveperiod,wavedirection,waveheight,Lat,Lon,WindDir,windspeed,pressure,WindDir_L,possibility,datetime,hurrthreat
0,41046.0,2010.0,12.0,31.0,23.0,50.0,5.38,41.0,1.39,23.832,-68.417,48.0,8.9,1021.0,NE,0.0,2010-12-31 23:50:00,0
1,41046.0,2011.0,1.0,1.0,0.0,50.0,5.16,22.0,1.49,23.832,-68.417,48.0,9.5,1021.3,NE,0.0,2011-01-01 00:50:00,0
2,41046.0,2011.0,1.0,1.0,1.0,50.0,5.11,40.0,1.64,23.832,-68.417,45.0,8.8,1021.8,NE,0.0,2011-01-01 01:50:00,0
3,41046.0,2011.0,1.0,1.0,2.0,50.0,5.07,44.0,1.52,23.832,-68.417,48.0,9.1,1022.3,NE,0.0,2011-01-01 02:50:00,0
4,41046.0,2011.0,1.0,1.0,3.0,50.0,5.06,60.0,1.64,23.832,-68.417,48.0,8.8,1022.2,NE,0.0,2011-01-01 03:50:00,0
5,41046.0,2011.0,1.0,1.0,4.0,50.0,5.24,47.0,1.74,23.832,-68.417,52.0,8.7,1021.6,NE,0.0,2011-01-01 04:50:00,0
6,41046.0,2011.0,1.0,1.0,5.0,50.0,5.41,30.0,1.64,23.832,-68.417,60.0,7.8,1021.1,NE,0.0,2011-01-01 05:50:00,0
7,41046.0,2011.0,1.0,1.0,6.0,50.0,5.4,29.0,1.56,23.832,-68.417,56.0,6.7,1020.5,NE,0.0,2011-01-01 06:50:00,0
8,41046.0,2011.0,1.0,1.0,7.0,50.0,5.35,67.0,1.51,23.832,-68.417,50.0,6.3,1020.2,NE,0.0,2011-01-01 07:50:00,0
9,41046.0,2011.0,1.0,1.0,8.0,50.0,5.45,40.0,1.52,23.832,-68.417,51.0,8.0,1019.9,NE,0.0,2011-01-01 08:50:00,0
10,41046.0,2011.0,1.0,1.0,9.0,50.0,5.05,54.0,1.5,23.832,-68.417,46.0,9.6,1019.6,NE,0.0,2011-01-01 09:50:00,0
11,41046.0,2011.0,1.0,1.0,10.0,50.0,5.13,51.0,1.57,23.832,-68.417,54.0,9.5,1020.0,NE,0.0,2011-01-01 10:50:00,0
12,41046.0,2011.0,1.0,1.0,11.0,50.0,5.05,63.0,1.68,23.832,-68.417,49.0,9.7,1020.5,NE,0.0,2011-01-01 11:50:00,0
13,41046.0,2011.0,1.0,1.0,12.0,50.0,5.12,66.0,1.74,23.832,-68.417,50.0,9.1,1021.5,NE,0.0,2011-01-01 12:50:00,0
