#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50  25  7.1  8.3  2.04  9.09  5.73 999 1017.5  23.8  25.2 999.0 99.0 99.00
2011 01 01 00 50  19  8.6 10.8  1.92 11.43  5.57 999 1018.2  23.7  25.2 999.0 99.0 99.00
2011 01 01 01 50  49  7.8  9.6  1.83 10.81  5.17 999 1018.6  23.0  25.1 999.0 99.0 99.00
2011 01 01 02 50  39  6.1  7.3  1.97 12.12  5.64 999 1018.5  23.2  25.1 999.0 99.0 99.00
2011 01 01 03 50  37  6.5  8.5  2.02 10.81  5.84 999 1018.2  23.2  25.0 999.0 99.0 99.00
2011 01 01 04 50  56  7.5  9.3  1.87 11.43  5.80 999 1017.7  23.4  25.0 999.0 99.0 99.00
2011 01 01 05 50  50  9.4 12.5  1.93  9.09  5.60 999 1017.2  23.2  24.9 999.0 99.0 99.00
2011 01 01 06 50  51  7.3  9.2  1.98 11.43  5.56 999 1016.7  23.0  24.9 999.0 99.0 99.00
2011 01 01 07 50  48  8.2  9.7  1.96  5.26  5.25 999 1016.3  23.1  24.9 999.0 99.0 99.00
2011 01 01 08 50  29  8.9 11.8  2.10  5.56  5.19 999 1016.4  22.4  24.9 999.0 99.0 99.00
2011 01 01 09 50  60 10.0 11.6  2.07 11.43  5.08 999 1016.5  23.3  24.9 999.0 99.0 99.00
2011 01 01 10 50  57 11.0 13.2  2.24  8.33  5.28 999 1016.8  23.5  24.9 999.0 99.0 99.00
2011 01 01 11 50  49 10.2 12.0  2.44  7.14  5.33 999 1017.1  23.9  24.9 999.0 99.0 99.00
2011 01 01 12 50  48  9.9 11.9  2.43  7.14  5.44 999 1017.7  24.5  25.0 999.0 99.0 99.00
2011 01 01 13 50  48  9.7 12.0  2.42 11.43  5.62 999 1018.5  24.4  25.0 999.0 99.0 99.00
2011 01 01 14 50  50  9.8 11.6  2.39  6.67  5.48 999 1018.4  24.5  25.0 999.0 99.0 99.00
2011 01 01 15 50  55  9.3 11.0  2.28  7.69  5.34 999 1018.2  24.5  25.0 999.0 99.0 99.00
2011 01 01 16 50  57  9.9 11.4  2.25 10.00  5.41 999 1017.5  24.5  25.0 999.0 99.0 99.00
