#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 225  5.3  6.4  0.47  3.03  3.25 999 1022.8   5.2   5.3 999.0 99.0 99.00
2011 01 01 00 50 238  5.4  6.2  0.47  3.03  3.48 999 1023.3   5.0   5.0 999.0 99.0 99.00
2011 01 01 01 50 226  3.8  4.2  0.46  3.03  3.75 999 1023.4   4.9   4.9 999.0 99.0 99.00
2011 01 01 02 50 218  4.1  4.7  0.41  3.23  3.54 999 1023.0   4.9   4.4 999.0 99.0 99.00
2011 01 01 03 50 201  4.1  4.7  0.41  7.69  3.64 999 1022.7   4.8   4.3 999.0 99.0 99.00
2011 01 01 04 50 199  5.1  5.6  0.47  7.14  3.75 999 1021.9   4.9   4.3 999.0 99.0 99.00
2011 01 01 05 50 206  5.5  6.2  0.42  3.13  3.50 999 1021.4   5.1   4.3 999.0 99.0 99.00
2011 01 01 06 50 219  5.0  5.8  0.44  3.45  3.26 999 1021.6   5.0   4.5 999.0 99.0 99.00
2011 01 01 07 50 224  5.5  6.3  0.43  3.33  3.16 999 1021.9   5.1   4.9 999.0 99.0 99.00
2011 01 01 08 50 211  4.2  4.7  0.45  3.45  3.20 999 1021.2   5.0   5.0 999.0 99.0 99.00
2011 01 01 09 50 214  5.7  6.7  0.42  3.23  3.29 999 1021.2   5.2   5.3 999.0 99.0 99.00
2011 01 01 10 50 205  5.8  6.6  0.49  3.45  3.28 999 1021.2   5.4   5.9 999.0 99.0 99.00
2011 01 01 11 50 204  6.3  7.2  0.50  3.85  3.36 999 1020.8   5.5   5.9 999.0 99.0 99.00
2011 01 01 12 50 217  5.1  5.8  0.51  4.35  3.48 999 1021.5   5.8   4.9 999.0 99.0 99.00
2011 01 01 13 50 211  5.6  6.2  0.48  4.17  3.56 999 1021.7   6.0   4.9 999.0 99.0 99.00
2011 01 01 14 50 205  6.1  7.1  0.53  3.85  3.52 999 1022.1   6.0   4.7 999.0 99.0 99.00
2011 01 01 15 50 210  5.7  6.5  0.50  4.00  3.50 999 1022.1   5.7   4.8 999.0 99.0 99.00
2011 01 01 16 50 205  5.6  6.2  0.51  4.00  3.45 999 1021.2   5.7   4.8 999.0 99.0 99.00
2011 01 01 17 50 195  5.7  6.5  0.54  3.85  3.33 999 1020.2   6.0   4.8 999.0 99.0 99.00
2011 01 01 18 50 190  5.8  6.6  0.56  3.85  3.47 999 1019.7   6.1   4.8 999.0 99.0 99.00
2011 01 01 19 50 182  6.6  7.5  0.55  3.45  3.36 999 1019.2   6.5   4.9 999.0 99.0 99.00
2011 01 01 20 50 192  5.3  5.9  0.55  3.45  3.28 999 1019.4   6.4   4.9 999.0 99.0 99.00
2011 01 01 21 50 184  4.9  5.5  0.52  3.85  3.42 999 1019.2   6.5   5.0 999.0 99.0 99.00
2011 01 01 22 50 185  5.0  5.5  0.46  4.00  3.63 999 1018.8   6.7   4.9 999.0 99.0 99.00
2011 01 01 23 50 189  7.1  7.8  0.47  3.23  3.19 999 1018.6   7.2   5.0 999.0 99.0 99.00
2011 01 02 00 50 192  8.7 10.1  0.70  3.45  3.18 999 1018.4   7.7   5.1 999.0 99.0 99.00
2011 01 02 01 50 194  7.5  8.5  0.72  4.17  3.34 999 1018.4   7.6   5.2 999.0 99.0 99.00
2011 01 02 02 50 194  6.4  7.4  0.76  4.17  3.55 999 1017.9   7.2   5.2 999.0 99.0 99.00
2011 01 02 03 50 197  8.1  8.9  0.75  4.17  3.47 999 1017.2   7.7   5.0 999.0 99.0 99.00
2011 01 02 04 50 212  6.6  7.3  0.88  4.35  3.63 999 1016.9   7.4   5.0 999.0 99.0 99.00
2011 01 02 05 50 220  6.5  7.4  0.89  4.76  3.73 999 1016.4   7.3   5.1 999.0 99.0 99.00
2011 01 02 06 50 201  7.8  9.2  0.92  4.76  3.68 999 1015.9   7.1   5.0 999.0 99.0 99.00
2011 01 02 07 50 202  8.3  9.4  1.08  4.35  3.68 999 1015.3   7.4   5.0 999.0 99.0 99.00
2011 01 02 08 50 198  7.2  8.4  1.07  4.35  3.68 999 1014.9   7.4   5.1 999.0 99.0 99.00
2011 01 02 09 50 191  6.3  7.1  0.92  5.00  3.67 999 1014.5   7.0   5.1 999.0 99.0 99.00
2011 01 02 10 50 222  5.0  5.6  0.83  5.26  3.89 999 1015.5   6.4   5.0 999.0 99.0 99.00
2011 01 02 11 50 194  6.0  6.7  0.78  5.00  4.12 999 1014.9   6.7   5.0 999.0 99.0 99.00
2011 01 02 12 50 200  6.2  6.8  0.83  5.00  4.27 999 1014.8   6.9   4.8 999.0 99.0 99.00
2011 01 02 13 50 205  7.4  8.5  0.77  5.26  3.96 999 1015.2   7.0   4.6 999.0 99.0 99.00
2011 01 02 14 50 210  5.6  6.4  0.81  5.26  4.11 999 1015.3   6.6   4.4 999.0 99.0 99.00
2011 01 02 15 50 257  5.8  6.9  0.70  5.26  4.13 999 1015.6   6.6   4.3 999.0 99.0 99.00
2011 01 02 16 50 345  4.8  6.4  0.69  5.26  4.28 999 1014.3   6.1   4.4 999.0 99.0 99.00
2011 01 02 17 50  13  5.3  6.0  0.64  5.00  4.16 999 1013.4   6.0   4.5 999.0 99.0 99.00
2011 01 02 18 50  11  3.9  4.4  0.56  5.00  3.81 999 1012.8   6.0   4.5 999.0 99.0 99.00
2011 01 02 19 50  31  3.7  4.1  0.60  5.00  4.03 999 1011.9   6.3   4.7 999.0 99.0 99.00
2011 01 02 20 50 329  6.0  7.2  0.61  4.76  4.02 999 1012.0   5.4   5.0 999.0 99.0 99.00
2011 01 02 21 50 336  7.5  8.6  0.61  4.76  3.56 999 1012.6   5.6   5.2 999.0 99.0 99.00
2011 01 02 22 50 349  7.5  8.8  0.61  5.00  3.36 999 1012.6   6.1   5.4 999.0 99.0 99.00
2011 01 02 23 50 338  9.1 10.7  0.79  3.57  3.30 999 1013.7   5.5   5.5 999.0 99.0 99.00
2011 01 03 00 50 350  7.3  8.3  0.70  3.45  3.27 999 1013.9   5.3   5.6 999.0 99.0 99.00
2011 01 03 01 50 342  6.2  7.0  0.56  3.23  3.15 999 1014.4   5.2   5.6 999.0 99.0 99.00
2011 01 03 02 50 318  6.5  7.8  0.50  3.23  3.10 999 1015.1   5.0   5.6 999.0 99.0 99.00
2011 01 03 03 50 326 11.5 13.3  0.74  3.03  2.97 999 1015.5   5.4   5.6 999.0 99.0 99.00
2011 01 03 04 50 321 10.9 13.7  1.07  3.70  3.48 999 1015.9   4.4   5.7 999.0 99.0 99.00
2011 01 03 05 50 332 11.6 14.2  1.51  4.76  3.96 999 1016.4   3.8   5.7 999.0 99.0 99.00
2011 01 03 06 50 329 13.3 15.2  1.83  5.26  4.39 999 1017.1   3.0   5.8 999.0 99.0 99.00
2011 01 03 07 50 328 12.8 16.1  1.78  5.56  4.44 999 1017.8   2.8   5.9 999.0 99.0 99.00
2011 01 03 08 50 330 13.7 16.1  1.92  5.88  4.61 999 1018.1   2.1   5.9 999.0 99.0 99.00
2011 01 03 09 50 337 13.3 16.3  2.02  5.88  4.71 999 1018.7   1.7   5.9 999.0 99.0 99.00
2011 01 03 10 50 339 12.3 15.1  1.87  5.56  4.66 999 1019.6   1.2   5.9 999.0 99.0 99.00
2011 01 03 11 50 333 11.8 14.3  1.97  5.88  4.65 999 1021.0   0.9   5.9 999.0 99.0 99.00
2011 01 03 12 50 336 12.7 15.2  1.72  5.88  4.35 999 1021.9   0.5   5.8 999.0 99.0 99.00
2011 01 03 13 50 343 11.5 13.7  1.80  5.56  4.41 999 1022.7   0.4   5.6 999.0 99.0 99.00
2011 01 03 14 50 341 11.5 13.9  1.57  5.88  4.17 999 1023.1   0.1   5.5 999.0 99.0 99.00
2011 01 03 15 50 338 10.4 12.3  1.61  5.00  4.09 999 1023.6   0.0   5.5 999.0 99.0 99.00
2011 01 03 16 50 328 10.8 13.2  1.52  5.00  4.09 999 1023.3   0.1   5.5 999.0 99.0 99.00
2011 01 03 17 50 326  8.9 10.9  1.34  5.00  3.95 999 1022.5   0.4   5.0 999.0 99.0 99.00
2011 01 03 18 50 313  6.7  8.7  1.24  4.76  4.10 999 1022.2   1.0   5.0 999.0 99.0 99.00
2011 01 03 19 50 315  8.1  9.7  1.08  4.55  3.96 999 1022.1   1.8   5.1 999.0 99.0 99.00
2011 01 03 20 50 304  7.9  9.7  0.97  4.17  3.85 999 1022.2   1.9   5.1 999.0 99.0 99.00
2011 01 03 21 50 299  8.8 10.8  0.89  4.00  3.75 999 1022.1   1.9   5.1 999.0 99.0 99.00
2011 01 03 22 50 294  8.3 10.0  0.89  3.70  3.73 999 1022.9   2.0   5.0 999.0 99.0 99.00
2011 01 03 23 50 271  7.2  8.8  0.83  3.85  3.64 999 1023.2   1.8   5.0 999.0 99.0 99.00
2011 01 04 00 50 279  7.7  9.2  0.79  3.57  3.46 999 1023.4   2.1   5.0 999.0 99.0 99.00
2011 01 04 01 50 270  7.4  8.7  0.75  3.23  3.36 999 1023.4   1.9   5.0 999.0 99.0 99.00
2011 01 04 02 50 262  6.6  7.9  0.70  3.33  3.25 999 1023.1   2.1   5.0 999.0 99.0 99.00
2011 01 04 03 50 271  6.9  7.9  0.69  3.23  3.28 999 1023.0   2.5   5.0 999.0 99.0 99.00
2011 01 04 04 50 275  5.9  6.9  0.56  3.33  3.24 999 1022.4   2.6   5.0 999.0 99.0 99.00
2011 01 04 05 50 276  6.3  7.1  0.52  3.03  3.24 999 1022.2   2.6   5.0 999.0 99.0 99.00
2011 01 04 06 50 256  5.1  5.9  0.48  3.23  3.18 999 1021.9   2.6   4.9 999.0 99.0 99.00
2011 01 04 07 50 247  5.5  6.0  0.44  2.94  3.12 999 1021.9   2.7   4.9 999.0 99.0 99.00
2011 01 04 08 50 238  5.4  6.7  0.43  3.33  3.09 999 1021.1   2.7   4.9 999.0 99.0 99.00
2011 01 04 09 50 243  5.2  6.1  0.47  2.94  3.02 999 1020.2   2.7   5.0 999.0 99.0 99.00
2011 01 04 10 50 229  6.2  7.3  0.48  3.13  3.07 999 1020.1   3.1   5.0 999.0 99.0 99.00
2011 01 04 11 50 221  7.2  8.5  0.56  3.13  2.97 999 1019.7   3.3   4.9 999.0 99.0 99.00
2011 01 04 12 50 218  7.7  9.1  0.59  3.23  3.11 999 1019.2   3.6   5.0 999.0 99.0 99.00
2011 01 04 13 50 221  8.2  9.3  0.68  3.45  3.24 999 1019.1   3.7   5.0 999.0 99.0 99.00
2011 01 04 14 50 221  9.5 11.0  0.82  3.85  3.38 999 1018.8   3.7   5.1 999.0 99.0 99.00
2011 01 04 15 50 216  9.4 10.8  1.04  4.35  3.72 999 1017.7   3.8   5.1 999.0 99.0 99.00
