#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 08 12 17 00 105  7.2  8.1  1.00  4.20 99.00  79 1016.9  29.3  29.6 999.0 99.0 99.00
2017 08 12 17 10 107  6.8  7.9 99.00 99.00 99.00 999 1016.9  29.2 999.0 999.0 99.0 99.00
2017 08 12 17 20 107  6.6  7.8 99.00 99.00 99.00 999 1016.9  29.3 999.0 999.0 99.0 99.00
2017 08 12 17 30 114  6.7  8.3 99.00 99.00 99.00 999 1016.8  29.2 999.0 999.0 99.0 99.00
2017 08 12 17 40 110  7.0  8.3 99.00 99.00 99.00 999 1016.8  29.2 999.0 999.0 99.0 99.00
2017 08 12 17 50 108  6.7  8.0 99.00 99.00 99.00 999 1016.7  29.2 999.0 999.0 99.0 99.00
2017 08 12 18 00 109  6.4  7.4  1.00  4.20 99.00  87 1016.6  29.3  29.6 999.0 99.0 99.00
2017 08 12 18 10 110  6.2  7.5 99.00 99.00 99.00 999 1016.5  29.2 999.0 999.0 99.0 99.00
2017 08 12 18 20 116  5.9  6.8 99.00 99.00 99.00 999 1016.5  29.3 999.0 999.0 99.0 99.00
2017 08 12 18 30 112  5.7  6.8 99.00 99.00 99.00 999 1016.4  29.3 999.0 999.0 99.0 99.00
2017 08 12 18 40 103  5.5  6.9 99.00 99.00 99.00 999 1016.4  29.3 999.0 999.0 99.0 99.00
2017 08 12 18 50 105  5.8  6.6 99.00 99.00 99.00 999 1016.3  29.3 999.0 999.0 99.0 99.00
2017 08 12 19 00 104  5.8  6.7  0.90  4.00 99.00  95 1016.3  29.4  29.7 999.0 99.0 99.00
2017 08 12 19 10 105  5.6  6.6 99.00 99.00 99.00 999 1016.3  29.4 999.0 999.0 99.0 99.00
2017 08 12 19 20 109  5.5  6.5 99.00 99.00 99.00 999 1016.2  29.4 999.0 999.0 99.0 99.00
2017 08 12 19 30 108  5.8  6.7 99.00 99.00 99.00 999 1016.1  29.5 999.0 999.0 99.0 99.00
2017 08 12 19 40 106  5.6  6.6 99.00 99.00 99.00 999 1016.1  29.5 999.0 999.0 99.0 99.00
2017 08 12 19 50 112  5.4  6.6 99.00 99.00 99.00 999 1016.0  29.5 999.0 999.0 99.0 99.00
2017 08 12 20 00 112  5.3  6.1  0.90  4.20 99.00  88 1016.0  29.4  29.7 999.0 99.0 99.00
2017 08 12 20 10 108  5.1  5.7 99.00 99.00 99.00 999 1015.9  29.4 999.0 999.0 99.0 99.00
2017 08 12 20 20 103  4.9  5.9 99.00 99.00 99.00 999 1016.0  29.4 999.0 999.0 99.0 99.00
2017 08 12 20 30  98  5.0  6.0 99.00 99.00 99.00 999 1016.0  29.4 999.0 999.0 99.0 99.00
2017 08 12 20 40  92  5.6  6.3 99.00 99.00 99.00 999 1016.1  29.4 999.0 999.0 99.0 99.00
2017 08 12 20 50  96  5.4  6.6 99.00 99.00 99.00 999 1016.2  29.3 999.0 999.0 99.0 99.00
